"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Worked from home","New Mexico","86,475","±2,717","9.60%","±0.3",2022
"Mean travel time to work (minutes)","New Mexico","23.1","±0.3","(X)","(X)",2022
"Workers 16 years and over","New York","9,394,994","±20,312","9,394,994","(X)",2022
"Car, truck, or van -- drove alone","New York","4,746,319","±15,058","50.50%","±0.1",2022
"Car, truck, or van -- carpooled","New York","594,392","±6,974","6.30%","±0.1",2022
"Public transportation (excluding taxicab)","New York","2,195,003","±10,423","23.40%","±0.1",2022
"Walked","New York","534,971","±6,513","5.70%","±0.1",2022
"Other means","New York","235,520","±4,991","2.50%","±0.1",2022
"Worked from home","New York","1,088,789","±9,781","11.60%","±0.1",2022
"Mean travel time to work (minutes)","New York","33.2","±0.1","(X)","(X)",2022
"Workers 16 years and over","North Carolina","4,919,645","±12,295","4,919,645","(X)",2022
"Car, truck, or van -- drove alone","North Carolina","3,701,267","±13,357","75.20%","±0.2",2022
"Car, truck, or van -- carpooled","North Carolina","424,449","±7,215","8.60%","±0.1",2022
"Public transportation (excluding taxicab)","North Carolina","39,003","±2,073","0.80%","±0.1",2022
"Walked","North Carolina","78,758","±2,360","1.60%","±0.1",2022
"Other means","North Carolina","66,636","±2,402","1.40%","±0.1",2022
"Worked from home","North Carolina","609,532","±7,375","12.40%","±0.1",2022
"Mean travel time to work (minutes)","North Carolina","25","±0.1","(X)","(X)",2022
"Workers 16 years and over","North Dakota","404,060","±2,249","404,060","(X)",2022
"Car, truck, or van -- drove alone","North Dakota","324,302","±2,777","80.30%","±0.5",2022
"Car, truck, or van -- carpooled","North Dakota","33,929","±1,540","8.40%","±0.4",2022
"Public transportation (excluding taxicab)","North Dakota","1,869","±424","0.50%","±0.1",2022
"Walked","North Dakota","13,001","±941","3.20%","±0.2",2022
"Other means","North Dakota","5,468","±522","1.40%","±0.1",2022
"Worked from home","North Dakota","25,491","±1,143","6.30%","±0.3",2022
"Mean travel time to work (minutes)","North Dakota","17.9","±0.3","(X)","(X)",2022
"Workers 16 years and over","Ohio","5,579,288","±12,333","5,579,288","(X)",2022
"Car, truck, or van -- drove alone","Ohio","4,355,391","±13,254","78.10%","±0.2",2022
"Car, truck, or van -- carpooled","Ohio","424,884","±6,839","7.60%","±0.1",2022
"Public transportation (excluding taxicab)","Ohio","67,044","±2,678","1.20%","±0.1",2022
"Walked","Ohio","113,183","±2,924","2.00%","±0.1",2022
"Other means","Ohio","71,281","±2,530","1.30%","±0.1",2022
"Worked from home","Ohio","547,505","±5,882","9.80%","±0.1",2022
"Mean travel time to work (minutes)","Ohio","23.6","±0.1","(X)","(X)",2022
"Workers 16 years and over","Oklahoma","1,790,757","±4,887","1,790,757","(X)",2022
"Car, truck, or van -- drove alone","Oklahoma","1,426,479","±5,248","79.70%","±0.2",2022
"Car, truck, or van -- carpooled","Oklahoma","168,353","±3,263","9.40%","±0.2",2022
"Public transportation (excluding taxicab)","Oklahoma","5,923","±673","0.30%","±0.1",2022
"Walked","Oklahoma","31,306","±1,074","1.70%","±0.1",2022
"Other means","Oklahoma","25,955","±991","1.40%","±0.1",2022
"Worked from home","Oklahoma","132,741","±2,642","7.40%","±0.1",2022
"Mean travel time to work (minutes)","Oklahoma","22.3","±0.1","(X)","(X)",2022
"Workers 16 years and over","Oregon","2,007,255","±7,166","2,007,255","(X)",2022
"Car, truck, or van -- drove alone","Oregon","1,346,323","±7,006","67.10%","±0.3",2022
"Car, truck, or van -- carpooled","Oregon","175,238","±3,777","8.70%","±0.2",2022
"Public transportation (excluding taxicab)","Oregon","60,199","±2,411","3.00%","±0.1",2022
"Walked","Oregon","68,311","±1,824","3.40%","±0.1",2022
"Other means","Oregon","57,061","±2,158","2.80%","±0.1",2022
"Worked from home","Oregon","300,123","±4,806","15.00%","±0.2",2022
"Mean travel time to work (minutes)","Oregon","23.3","±0.1","(X)","(X)",2022
"Workers 16 years and over","Pennsylvania","6,200,303","±14,528","6,200,303","(X)",2022
"Car, truck, or van -- drove alone","Pennsylvania","4,409,690","±14,903","71.10%","±0.2",2022
"Car, truck, or van -- carpooled","Pennsylvania","479,525","±5,731","7.70%","±0.1",2022
"Public transportation (excluding taxicab)","Pennsylvania","266,593","±4,569","4.30%","±0.1",2022
"Walked","Pennsylvania","205,475","±4,004","3.30%","±0.1",2022
"Other means","Pennsylvania","104,954","±3,160","1.70%","±0.1",2022
"Worked from home","Pennsylvania","734,066","±8,122","11.80%","±0.1",2022
"Mean travel time to work (minutes)","Pennsylvania","26.7","±0.1","(X)","(X)",2022
"Workers 16 years and over","Rhode Island","542,687","±3,914","542,687","(X)",2022
"Car, truck, or van -- drove alone","Rhode Island","413,944","±3,667","76.30%","±0.5",2022
"Car, truck, or van -- carpooled","Rhode Island","41,330","±2,086","7.60%","±0.4",2022
"Public transportation (excluding taxicab)","Rhode Island","10,428","±969","1.90%","±0.2",2022
"Walked","Rhode Island","15,688","±1,044","2.90%","±0.2",2022
"Other means","Rhode Island","9,148","±860","1.70%","±0.2",2022
"Worked from home","Rhode Island","52,149","±2,134","9.60%","±0.4",2022
"Mean travel time to work (minutes)","Rhode Island","25.3","±0.3","(X)","(X)",2022
"Workers 16 years and over","South Carolina","2,344,150","±9,608","2,344,150","(X)",2022
"Car, truck, or van -- drove alone","South Carolina","1,856,325","±10,139","79.20%","±0.2",2022
"Car, truck, or van -- carpooled","South Carolina","198,165","±4,765","8.50%","±0.2",2022
"Public transportation (excluding taxicab)","South Carolina","10,735","±1,050","0.50%","±0.1",2022
"Walked","South Carolina","41,383","±1,929","1.80%","±0.1",2022
"Other means","South Carolina","37,945","±1,859","1.60%","±0.1",2022
"Worked from home","South Carolina","199,597","±3,751","8.50%","±0.2",2022
"Mean travel time to work (minutes)","South Carolina","25.5","±0.1","(X)","(X)",2022
"Workers 16 years and over","South Dakota","449,118","±2,286","449,118","(X)",2022
"Car, truck, or van -- drove alone","South Dakota","354,015","±2,970","78.80%","±0.5",2022
"Car, truck, or van -- carpooled","South Dakota","35,206","±1,327","7.80%","±0.3",2022
"Public transportation (excluding taxicab)","South Dakota","1,734","±317","0.40%","±0.1",2022
"Walked","South Dakota","14,004","±1,100","3.10%","±0.2",2022
"Other means","South Dakota","5,846","±657","1.30%","±0.1",2022
"Worked from home","South Dakota","38,313","±1,622","8.50%","±0.4",2022
"Mean travel time to work (minutes)","South Dakota","17.4","±0.2","(X)","(X)",2022
"Workers 16 years and over","Tennessee","3,213,248","±10,633","3,213,248","(X)",2022
"Car, truck, or van -- drove alone","Tennessee","2,532,383","±9,832","78.80%","±0.2",2022
"Car, truck, or van -- carpooled","Tennessee","273,733","±4,665","8.50%","±0.1",2022
"Public transportation (excluding taxicab)","Tennessee","15,910","±1,229","0.50%","±0.1",2022
"Walked","Tennessee","38,985","±1,777","1.20%","±0.1",2022
"Other means","Tennessee","40,804","±1,949","1.30%","±0.1",2022
"Worked from home","Tennessee","311,433","±5,218","9.70%","±0.2",2022
"Mean travel time to work (minutes)","Tennessee","25.5","±0.1","(X)","(X)",2022
"Workers 16 years and over","Texas","13,755,352","±22,690","13,755,352","(X)",2022
"Car, truck, or van -- drove alone","Texas","10,327,933","±22,326","75.10%","±0.1",2022
"Car, truck, or van -- carpooled","Texas","1,337,464","±14,280","9.70%","±0.1",2022
"Public transportation (excluding taxicab)","Texas","142,353","±3,698","1.00%","±0.1",2022
"Walked","Texas","201,384","±4,449","1.50%","±0.1",2022
"Other means","Texas","233,706","±5,608","1.70%","±0.1",2022
"Worked from home","Texas","1,512,512","±13,094","11.00%","±0.1",2022
"Mean travel time to work (minutes)","Texas","26.6","±0.1","(X)","(X)",2022
"Workers 16 years and over","Utah","1,617,201","±6,047","1,617,201","(X)",2022
"Car, truck, or van -- drove alone","Utah","1,143,356","±6,519","70.70%","±0.3",2022
"Car, truck, or van -- carpooled","Utah","159,005","±4,261","9.80%","±0.3",2022
"Public transportation (excluding taxicab)","Utah","28,799","±1,362","1.80%","±0.1",2022
"Walked","Utah","34,427","±1,655","2.10%","±0.1",2022
"Other means","Utah","24,035","±1,185","1.50%","±0.1",2022
"Worked from home","Utah","227,579","±3,681","14.10%","±0.2",2022
"Mean travel time to work (minutes)","Utah","21.9","±0.1","(X)","(X)",2022
"Workers 16 years and over","Vermont","330,614","±2,346","330,614","(X)",2022
"Car, truck, or van -- drove alone","Vermont","236,757","±2,533","71.60%","±0.5",2022
"Car, truck, or van -- carpooled","Vermont","27,149","±1,058","8.20%","±0.3",2022
"Public transportation (excluding taxicab)","Vermont","2,898","±401","0.90%","±0.1",2022
"Walked","Vermont","14,783","±958","4.50%","±0.3",2022
"Other means","Vermont","5,247","±586","1.60%","±0.2",2022
"Worked from home","Vermont","43,780","±1,616","13.20%","±0.5",2022
"Mean travel time to work (minutes)","Vermont","23.3","±0.3","(X)","(X)",2022
"Workers 16 years and over","Virginia","4,290,610","±10,681","4,290,610","(X)",2022
"Car, truck, or van -- drove alone","Virginia","3,043,612","±11,342","70.90%","±0.2",2022
"Car, truck, or van -- carpooled","Virginia","356,964","±5,716","8.30%","±0.1",2022
"Public transportation (excluding taxicab)","Virginia","127,841","±3,269","3.00%","±0.1",2022
"Walked","Virginia","90,057","±2,666","2.10%","±0.1",2022
"Other means","Virginia","73,009","±2,327","1.70%","±0.1",2022
"Worked from home","Virginia","599,127","±6,740","14.00%","±0.1",2022
"Mean travel time to work (minutes)","Virginia","27.9","±0.1","(X)","(X)",2022
"Workers 16 years and over","Washington","3,722,716","±8,331","3,722,716","(X)",2022
"Car, truck, or van -- drove alone","Washington","2,454,824","±8,571","65.90%","±0.2",2022
"Car, truck, or van -- carpooled","Washington","330,529","±4,535","8.90%","±0.1",2022
"Public transportation (excluding taxicab)","Washington","169,591","±3,525","4.60%","±0.1",2022
"Walked","Washington","120,751","±2,979","3.20%","±0.1",2022
"Other means","Washington","71,837","±3,005","1.90%","±0.1",2022
"Worked from home","Washington","575,184","±6,548","15.50%","±0.2",2022
"Mean travel time to work (minutes)","Washington","27.3","±0.1","(X)","(X)",2022
"Workers 16 years and over","West Virginia","723,217","±4,443","723,217","(X)",2022
"Car, truck, or van -- drove alone","West Virginia","581,527","±4,009","80.40%","±0.4",2022
"Car, truck, or van -- carpooled","West Virginia","59,320","±2,514","8.20%","±0.3",2022
"Public transportation (excluding taxicab)","West Virginia","4,810","±643","0.70%","±0.1",2022
"Walked","West Virginia","18,747","±1,166","2.60%","±0.2",2022
"Other means","West Virginia","9,158","±812","1.30%","±0.1",2022
"Worked from home","West Virginia","49,655","±1,905","6.90%","±0.3",2022
"Mean travel time to work (minutes)","West Virginia","26.3","±0.2","(X)","(X)",2022
"Workers 16 years and over","Wisconsin","2,974,249","±6,853","2,974,249","(X)",2022
"Car, truck, or van -- drove alone","Wisconsin","2,290,304","±7,618","77.00%","±0.2",2022
"Car, truck, or van -- carpooled","Wisconsin","218,653","±3,847","7.40%","±0.1",2022
"Public transportation (excluding taxicab)","Wisconsin","36,957","±1,769","1.20%","±0.1",2022
"Walked","Wisconsin","83,149","±2,422","2.80%","±0.1",2022
"Other means","Wisconsin","44,777","±1,724","1.50%","±0.1",2022
"Worked from home","Wisconsin","300,409","±4,355","10.10%","±0.1",2022
"Mean travel time to work (minutes)","Wisconsin","22.2","±0.1","(X)","(X)",2022
"Workers 16 years and over","Wyoming","284,555","±2,118","284,555","(X)",2022
"Car, truck, or van -- drove alone","Wyoming","217,500","±2,514","76.40%","±0.6",2022
"Car, truck, or van -- carpooled","Wyoming","27,298","±1,444","9.60%","±0.5",2022
"Public transportation (excluding taxicab)","Wyoming","2,611","±379","0.90%","±0.1",2022
"Walked","Wyoming","9,978","±761","3.50%","±0.3",2022
"Other means","Wyoming","5,266","±621","1.90%","±0.2",2022
"Worked from home","Wyoming","21,902","±1,087","7.70%","±0.4",2022
"Mean travel time to work (minutes)","Wyoming","18","±0.4","(X)","(X)",2022
"Workers 16 years and over","Puerto Rico","1,051,707","±6,877","1,051,707","(X)",2022
"Car, truck, or van -- drove alone","Puerto Rico","872,857","±6,622","83.00%","±0.3",2022
"Car, truck, or van -- carpooled","Puerto Rico","72,800","±2,576","6.90%","±0.2",2022
"Public transportation (excluding taxicab)","Puerto Rico","11,501","±928","1.10%","±0.1",2022
"Walked","Puerto Rico","25,894","±1,324","2.50%","±0.1",2022
"Other means","Puerto Rico","17,683","±1,074","1.70%","±0.1",2022
"Worked from home","Puerto Rico","50,972","±1,838","4.80%","±0.2",2022
"Mean travel time to work (minutes)","Puerto Rico","28.6","±0.2","(X)","(X)",2022
"Workers 16 years and over","Alabama","2,095,195","±7,330","2,095,195","(X)",2020
"Car, truck, or van -- drove alone","Alabama","1,778,257","±8,486","84.90%","±0.3",2020
"Car, truck, or van -- carpooled","Alabama","174,781","±3,458","8.30%","±0.2",2020
"Public transportation (excluding taxicab)","Alabama","6,960","±934","0.30%","±0.1",2020
"Walked","Alabama","23,265","±1,414","1.10%","±0.1",2020
"Other means","Alabama","19,096","±1,092","0.90%","±0.1",2020
"Worked from home","Alabama","92,836","±3,309","4.40%","±0.2",2020
"Mean travel time to work (minutes)","Alabama","25.2","±0.1","(X)","(X)",2020
"Workers 16 years and over","Alaska","351,387","±2,410","351,387","(X)",2020
"Car, truck, or van -- drove alone","Alaska","239,445","±2,537","68.10%","±0.6",2020
"Car, truck, or van -- carpooled","Alaska","42,406","±1,700","12.10%","±0.5",2020
"Public transportation (excluding taxicab)","Alaska","4,247","±597","1.20%","±0.2",2020
"Walked","Alaska","26,789","±1,136","7.60%","±0.3",2020
"Other means","Alaska","17,316","±771","4.90%","±0.2",2020
"Worked from home","Alaska","21,184","±1,087","6.00%","±0.3",2020
"Mean travel time to work (minutes)","Alaska","18.9","±0.3","(X)","(X)",2020
"Workers 16 years and over","Arizona","3,179,988","±9,297","3,179,988","(X)",2020
"Car, truck, or van -- drove alone","Arizona","2,369,970","±9,153","74.50%","±0.2",2020
"Car, truck, or van -- carpooled","Arizona","339,273","±6,328","10.70%","±0.2",2020
"Public transportation (excluding taxicab)","Arizona","50,759","±2,114","1.60%","±0.1",2020
"Walked","Arizona","58,666","±2,332","1.80%","±0.1",2020
"Other means","Arizona","78,986","±3,291","2.50%","±0.1",2020
"Worked from home","Arizona","282,334","±5,295","8.90%","±0.2",2020
"Mean travel time to work (minutes)","Arizona","25.8","±0.1","(X)","(X)",2020
"Workers 16 years and over","Arkansas","1,294,646","±6,164","1,294,646","(X)",2020
"Car, truck, or van -- drove alone","Arkansas","1,065,652","±5,320","82.30%","±0.3",2020
"Car, truck, or van -- carpooled","Arkansas","132,530","±3,208","10.20%","±0.2",2020
"Public transportation (excluding taxicab)","Arkansas","3,950","±444","0.30%","±0.1",2020
"Walked","Arkansas","21,187","±1,281","1.60%","±0.1",2020
"Other means","Arkansas","14,781","±1,262","1.10%","±0.1",2020
"Worked from home","Arkansas","56,546","±2,161","4.40%","±0.2",2020
"Mean travel time to work (minutes)","Arkansas","21.8","±0.2","(X)","(X)",2020
"Workers 16 years and over","California","18,239,892","±23,587","18,239,892","(X)",2020
"Car, truck, or van -- drove alone","California","13,146,038","±21,814","72.10%","±0.1",2020
"Car, truck, or van -- carpooled","California","1,817,094","±13,779","10.00%","±0.1",2020
"Public transportation (excluding taxicab)","California","843,498","±6,674","4.60%","±0.1",2020
"Walked","California","461,980","±5,600","2.50%","±0.1",2020
"Other means","California","441,585","±6,073","2.40%","±0.1",2020
"Worked from home","California","1,529,697","±14,098","8.40%","±0.1",2020
"Mean travel time to work (minutes)","California","29.8","±0.1","(X)","(X)",2020
"Workers 16 years and over","Colorado","2,919,907","±7,381","2,919,907","(X)",2020
"Car, truck, or van -- drove alone","Colorado","2,127,579","±8,067","72.90%","±0.2",2020
"Car, truck, or van -- carpooled","Colorado","250,454","±4,290","8.60%","±0.1",2020
"Public transportation (excluding taxicab)","Colorado","82,173","±2,335","2.80%","±0.1",2020
"Walked","Colorado","81,786","±2,382","2.80%","±0.1",2020
"Other means","Colorado","62,706","±1,988","2.10%","±0.1",2020
"Worked from home","Colorado","315,209","±5,428","10.80%","±0.2",2020
"Mean travel time to work (minutes)","Colorado","25.8","±0.1","(X)","(X)",2020
"Workers 16 years and over","Connecticut","1,777,570","±6,475","1,777,570","(X)",2020
"Car, truck, or van -- drove alone","Connecticut","1,355,510","±7,310","76.30%","±0.3",2020
"Car, truck, or van -- carpooled","Connecticut","139,227","±3,586","7.80%","±0.2",2020
"Public transportation (excluding taxicab)","Connecticut","77,433","±1,907","4.40%","±0.1",2020
"Walked","Connecticut","47,218","±2,143","2.70%","±0.1",2020
"Other means","Connecticut","22,419","±1,297","1.30%","±0.1",2020
"Worked from home","Connecticut","135,763","±3,769","7.60%","±0.2",2020
"Mean travel time to work (minutes)","Connecticut","26.7","±0.1","(X)","(X)",2020
"Workers 16 years and over","Delaware","451,927","±3,855","451,927","(X)",2020
"Car, truck, or van -- drove alone","Delaware","356,251","±3,879","78.80%","±0.6",2020
"Car, truck, or van -- carpooled","Delaware","38,702","±1,999","8.60%","±0.4",2020
"Public transportation (excluding taxicab)","Delaware","9,946","±746","2.20%","±0.2",2020
"Walked","Delaware","9,552","±802","2.10%","±0.2",2020
"Other means","Delaware","5,149","±632","1.10%","±0.1",2020
"Worked from home","Delaware","32,327","±1,823","7.20%","±0.4",2020
"Mean travel time to work (minutes)","Delaware","26.2","±0.3","(X)","(X)",2020
"Workers 16 years and over","District of Columbia","379,090","±2,800","379,090","(X)",2020
"Car, truck, or van -- drove alone","District of Columbia","121,780","±2,256","32.10%","±0.6",2020
"Car, truck, or van -- carpooled","District of Columbia","18,708","±1,186","4.90%","±0.3",2020
"Public transportation (excluding taxicab)","District of Columbia","119,569","±2,727","31.50%","±0.7",2020
"Walked","District of Columbia","47,319","±1,599","12.50%","±0.4",2020
"Other means","District of Columbia","25,242","±1,558","6.70%","±0.4",2020
"Worked from home","District of Columbia","46,472","±2,634","12.30%","±0.7",2020
"Mean travel time to work (minutes)","District of Columbia","30.9","±0.2","(X)","(X)",2020
"Workers 16 years and over","Florida","9,559,753","±19,793","9,559,753","(X)",2020
"Car, truck, or van -- drove alone","Florida","7,431,583","±19,678","77.70%","±0.1",2020
"Car, truck, or van -- carpooled","Florida","878,107","±12,297","9.20%","±0.1",2020
"Public transportation (excluding taxicab)","Florida","154,580","±3,945","1.60%","±0.1",2020
"Walked","Florida","132,932","±3,518","1.40%","±0.1",2020
"Other means","Florida","220,516","±4,978","2.30%","±0.1",2020
"Worked from home","Florida","742,035","±7,239","7.80%","±0.1",2020
"Mean travel time to work (minutes)","Florida","27.9","±0.1","(X)","(X)",2020
"Workers 16 years and over","Georgia","4,852,255","±11,818","4,852,255","(X)",2020
"Car, truck, or van -- drove alone","Georgia","3,771,815","±13,860","77.70%","±0.2",2020
"Car, truck, or van -- carpooled","Georgia","451,008","±7,381","9.30%","±0.1",2020
"Public transportation (excluding taxicab)","Georgia","93,987","±2,973","1.90%","±0.1",2020
"Walked","Georgia","71,450","±2,610","1.50%","±0.1",2020
"Other means","Georgia","87,425","±3,419","1.80%","±0.1",2020
"Worked from home","Georgia","376,570","±6,960","7.80%","±0.1",2020
"Mean travel time to work (minutes)","Georgia","28.7","±0.1","(X)","(X)",2020
"Workers 16 years and over","Hawaii","698,429","±3,489","698,429","(X)",2020
"Car, truck, or van -- drove alone","Hawaii","472,098","±4,052","67.60%","±0.5",2020
"Car, truck, or van -- carpooled","Hawaii","93,704","±2,523","13.40%","±0.4",2020
"Public transportation (excluding taxicab)","Hawaii","38,177","±1,745","5.50%","±0.2",2020
"Walked","Hawaii","32,330","±1,315","4.60%","±0.2",2020
"Other means","Hawaii","21,334","±1,261","3.10%","±0.2",2020
"Worked from home","Hawaii","40,786","±1,556","5.80%","±0.2",2020
"Mean travel time to work (minutes)","Hawaii","27.1","±0.2","(X)","(X)",2020
"Workers 16 years and over","Idaho","807,123","±4,330","807,123","(X)",2020
"Car, truck, or van -- drove alone","Idaho","628,094","±4,505","77.80%","±0.4",2020
"Car, truck, or van -- carpooled","Idaho","75,327","±2,549","9.30%","±0.3",2020
"Public transportation (excluding taxicab)","Idaho","5,142","±474","0.60%","±0.1",2020
"Walked","Idaho","20,055","±1,234","2.50%","±0.2",2020
"Other means","Idaho","15,947","±1,201","2.00%","±0.1",2020
"Worked from home","Idaho","62,558","±2,611","7.80%","±0.3",2020
"Mean travel time to work (minutes)","Idaho","21.2","±0.2","(X)","(X)",2020
"Workers 16 years and over","Illinois","6,129,176","±12,308","6,129,176","(X)",2020
"Car, truck, or van -- drove alone","Illinois","4,385,276","±12,592","71.50%","±0.2",2020
"Car, truck, or van -- carpooled","Illinois","476,964","±6,377","7.80%","±0.1",2020
"Public transportation (excluding taxicab)","Illinois","539,825","±6,844","8.80%","±0.1",2020
"Walked","Illinois","173,791","±3,833","2.80%","±0.1",2020
"Other means","Illinois","110,771","±2,781","1.80%","±0.1",2020
"Worked from home","Illinois","442,549","±6,304","7.20%","±0.1",2020
"Mean travel time to work (minutes)","Illinois","29","±0.1","(X)","(X)",2020
"Workers 16 years and over","Indiana","3,158,697","±10,369","3,158,697","(X)",2020
"Car, truck, or van -- drove alone","Indiana","2,566,614","±11,126","81.30%","±0.2",2020
"Car, truck, or van -- carpooled","Indiana","283,920","±5,635","9.00%","±0.2",2020
"Public transportation (excluding taxicab)","Indiana","27,808","±1,552","0.90%","±0.1",2020
"Walked","Indiana","66,390","±2,119","2.10%","±0.1",2020
"Other means","Indiana","41,207","±1,652","1.30%","±0.1",2020
"Worked from home","Indiana","172,758","±4,881","5.50%","±0.2",2020
"Mean travel time to work (minutes)","Indiana","23.9","±0.1","(X)","(X)",2020
"Workers 16 years and over","Iowa","1,583,657","±4,717","1,583,657","(X)",2020
"Car, truck, or van -- drove alone","Iowa","1,270,600","±5,585","80.20%","±0.3",2020
"Car, truck, or van -- carpooled","Iowa","127,348","±2,815","8.00%","±0.2",2020
"Public transportation (excluding taxicab)","Iowa","14,278","±1,007","0.90%","±0.1",2020
"Walked","Iowa","49,204","±1,456","3.10%","±0.1",2020
"Other means","Iowa","20,787","±928","1.30%","±0.1",2020
"Worked from home","Iowa","101,440","±2,709","6.40%","±0.2",2020
"Mean travel time to work (minutes)","Iowa","19.5","±0.1","(X)","(X)",2020
"Workers 16 years and over","Kansas","1,436,563","±4,863","1,436,563","(X)",2020
"Car, truck, or van -- drove alone","Kansas","1,159,928","±5,912","80.70%","±0.3",2020
"Car, truck, or van -- carpooled","Kansas","128,055","±3,127","8.90%","±0.2",2020
"Public transportation (excluding taxicab)","Kansas","6,194","±619","0.40%","±0.1",2020
"Walked","Kansas","32,188","±1,259","2.20%","±0.1",2020
"Other means","Kansas","18,738","±1,150","1.30%","±0.1",2020
"Worked from home","Kansas","91,460","±2,907","6.40%","±0.2",2020
"Mean travel time to work (minutes)","Kansas","19.6","±0.1","(X)","(X)",2020
"Workers 16 years and over","Kentucky","1,962,584","±7,640","1,962,584","(X)",2020
"Car, truck, or van -- drove alone","Kentucky","1,592,944","±8,004","81.20%","±0.3",2020
"Car, truck, or van -- carpooled","Kentucky","179,840","±3,955","9.20%","±0.2",2020
"Public transportation (excluding taxicab)","Kentucky","18,292","±1,284","0.90%","±0.1",2020
"Walked","Kentucky","41,798","±1,672","2.10%","±0.1",2020
"Other means","Kentucky","25,584","±1,538","1.30%","±0.1",2020
"Worked from home","Kentucky","104,126","±2,674","5.30%","±0.1",2020
"Mean travel time to work (minutes)","Kentucky","23.7","±0.1","(X)","(X)",2020
"Workers 16 years and over","Louisiana","2,002,968","±9,223","2,002,968","(X)",2020
"Car, truck, or van -- drove alone","Louisiana","1,640,341","±9,378","81.90%","±0.2",2020
"Car, truck, or van -- carpooled","Louisiana","181,136","±3,636","9.00%","±0.2",2020
"Public transportation (excluding taxicab)","Louisiana","21,868","±1,336","1.10%","±0.1",2020
"Walked","Louisiana","36,886","±1,808","1.80%","±0.1",2020
"Other means","Louisiana","37,699","±1,680","1.90%","±0.1",2020
"Worked from home","Louisiana","85,038","±2,957","4.20%","±0.1",2020
"Mean travel time to work (minutes)","Louisiana","25.8","±0.2","(X)","(X)",2020
"Workers 16 years and over","Maine","662,547","±3,384","662,547","(X)",2020
"Car, truck, or van -- drove alone","Maine","511,352","±4,209","77.20%","±0.5",2020
"Car, truck, or van -- carpooled","Maine","61,134","±1,902","9.20%","±0.3",2020
"Public transportation (excluding taxicab)","Maine","3,591","±455","0.50%","±0.1",2020
"Walked","Maine","24,233","±1,095","3.70%","±0.2",2020
"Other means","Maine","8,551","±814","1.30%","±0.1",2020
"Worked from home","Maine","53,686","±2,266","8.10%","±0.3",2020
"Mean travel time to work (minutes)","Maine","24.3","±0.2","(X)","(X)",2020
"Workers 16 years and over","Maryland","3,047,112","±7,155","3,047,112","(X)",2020
"Car, truck, or van -- drove alone","Maryland","2,196,630","±9,112","72.10%","±0.3",2020
"Car, truck, or van -- carpooled","Maryland","262,550","±4,179","8.60%","±0.1",2020
"Public transportation (excluding taxicab)","Maryland","226,646","±3,618","7.40%","±0.1",2020
"Walked","Maryland","64,877","±2,223","2.10%","±0.1",2020
"Other means","Maryland","49,186","±1,862","1.60%","±0.1",2020
"Worked from home","Maryland","247,223","±5,085","8.10%","±0.2",2020
"Mean travel time to work (minutes)","Maryland","33","±0.1","(X)","(X)",2020
"Workers 16 years and over","Massachusetts","3,544,318","±8,065","3,544,318","(X)",2020
"Car, truck, or van -- drove alone","Massachusetts","2,410,716","±9,396","68.00%","±0.2",2020
"Car, truck, or van -- carpooled","Massachusetts","257,379","±4,522","7.30%","±0.1",2020
"Public transportation (excluding taxicab)","Massachusetts","337,729","±4,638","9.50%","±0.1",2020
"Walked","Massachusetts","170,570","±3,524","4.80%","±0.1",2020
"Other means","Massachusetts","75,072","±2,128","2.10%","±0.1",2020
"Worked from home","Massachusetts","292,852","±5,191","8.30%","±0.1",2020
"Mean travel time to work (minutes)","Massachusetts","30","±0.1","(X)","(X)",2020
"Workers 16 years and over","Michigan","4,560,759","±10,687","4,560,759","(X)",2020
"Car, truck, or van -- drove alone","Michigan","3,679,255","±11,446","80.70%","±0.2",2020
"Car, truck, or van -- carpooled","Michigan","392,963","±6,174","8.60%","±0.1",2020
"Public transportation (excluding taxicab)","Michigan","58,641","±2,172","1.30%","±0.1",2020
"Walked","Michigan","99,941","±2,505","2.20%","±0.1",2020
"Other means","Michigan","57,846","±1,928","1.30%","±0.1",2020
"Worked from home","Michigan","272,113","±4,794","6.00%","±0.1",2020
"Mean travel time to work (minutes)","Michigan","24.6","±0.1","(X)","(X)",2020
"Workers 16 years and over","Minnesota","2,903,106","±6,194","2,903,106","(X)",2020
"Car, truck, or van -- drove alone","Minnesota","2,205,517","±7,573","76.00%","±0.2",2020
"Car, truck, or van -- carpooled","Minnesota","236,049","±3,777","8.10%","±0.1",2020
"Public transportation (excluding taxicab)","Minnesota","93,692","±2,068","3.20%","±0.1",2020
"Walked","Minnesota","75,115","±2,231","2.60%","±0.1",2020
"Other means","Minnesota","44,284","±1,743","1.50%","±0.1",2020
"Worked from home","Minnesota","248,449","±4,043","8.60%","±0.1",2020
"Mean travel time to work (minutes)","Minnesota","23.8","±0.1","(X)","(X)",2020
"Workers 16 years and over","Mississippi","1,230,952","±6,831","1,230,952","(X)",2020
"Car, truck, or van -- drove alone","Mississippi","1,041,248","±6,825","84.60%","±0.3",2020
"Car, truck, or van -- carpooled","Mississippi","113,601","±2,972","9.20%","±0.2",2020
"Public transportation (excluding taxicab)","Mississippi","3,335","±566","0.30%","±0.1",2020
"Walked","Mississippi","16,558","±1,129","1.30%","±0.1",2020
"Other means","Mississippi","18,926","±1,168","1.50%","±0.1",2020
